GLO R01–East; GLO R02–Central; GLO R03–West (2021-10-20),,GLO R04–LRGV (2021-10-20),,TIFF (2021-10-21),,Data Survey (2020-10),
Classification,Example,Classification,Definition,Classification,Example,Theme,Definition
Atmospheric,Radar Rainfall Data,Atmospheric,,Atmospheric,Radar Rainfall Data,Climate and Weather,
,Rain Gauge Data,,,,Rain Gauge Data,,
,,,,,,,
,,,,,Local Climatological Data,,
,,,Event driven meteorological data,,Meteorological Data,,
,,,,,,,"As weather impacts to Texas residents and commerce increase year after year, climate and weather data becomes increasingly vital to the emergency response, recovery, and planning community. "
,,Metocean,Meteorological observations (long-term and event driven) and statistically derived datasets,,,,
,,,,,Flow velocity and direction,,
,,,,,"Wave (period, signfiicant height, direction)",,
Built Environment,"Jurisdictional Areas – Cities, Counties, River/Watershed Authorities, COGs",Built Environment,,Jurisdictional,Extraterritorial Jurisdictions (ETJ),Administrative Boundaries,
,,,,,Jurisdictional - COG,,
,,,,,Jurisdictional - County Boundary,,
,,,,,Jurisdictional - Municipal,,
,,,,,Jurisdictional - River / Watershed Authority,,"Geographic boundaries that are not part of the natural environment and are defined by legal statute, treaty, or other anthropogenic definitions can be described as administrative boundaries. They are often placed to mark the divisions between sovereign governments and political jurisdictions, such as countries, states, counties, cities or local zoning units. These geographic entities may be delineated based on a common culture and history, language, systems of governance, or a long-standing result of trade, conflict or war."
,Dams,,,Built Environment,Dams,,
,Parks,,,,Parks,,
,Critical Infrastructure,,,,Critical Infrastructure / Key Resources,Critical Infrastructure,The Department of Homeland Security (DHS) defines critical infrastructure as “the physical and cyber systems and assets that are so vital to the United States that their incapacity or destruction would have a debilitating impact on our physical or economic security or public health or safety”
,Critical Municipal Buildings,,,,Critical Municipal Buildings,,
