agency_name,agency_abbrev,category
Texas Board of Public Accountancy,,Texas Agency
Texas Office of Administrative Hearings,,Texas Agency
Texas Affordable Housing Corporation,,Texas Agency
Texas Dept of Aging and Disability Services,,Texas Agency
Texas Dept of Agriculture,,Texas Agency
Texas AgriLife Extension Service,,Texas Agency
Texas AgriLife Research,,Texas Agency
Texas Alcoholic Beverage Commission,TABC,Texas Agency
Texas Anatomical Board,,Texas Agency
Texas Angelina and Neches River Authority,,Texas Agency
Texas Animal Health Commission,,Texas Agency
Texas Office of the State Apiary Inspection Service Entomologist,,Texas Agency
Texas 1st District Court of Appeals,,Texas Agency
Texas 2nd District Court of Appeals,,Texas Agency
Texas 3rd District Court of Appeals,,Texas Agency
Texas 4th District Court of Appeals,,Texas Agency
Texas 5th District Court of Appeals,,Texas Agency
Texas 6th District Court of Appeals,,Texas Agency
Texas 7th District Court of Appeals,,Texas Agency
Texas 8th District Court of Appeals,,Texas Agency
Texas 9th District Court of Appeals,,Texas Agency
Texas 10th District Court of Appeals,,Texas Agency
Texas 11th District Court of Appeals,,Texas Agency
Texas 12th District Court of Appeals,,Texas Agency
Texas 13th District Court of Appeals,,Texas Agency
Texas 14th District Court of Appeals,,Texas Agency
Texas Appraiser Licensing and Certification Board,,Texas Agency
Texas Board of Architectural Examiners,,Texas Agency
Texas Commission on the Arts,,Texas Agency
Texas Attorney General,TXAG,Texas Agency
Texas Auditor,,Texas Agency
Texas Dept of Banking,,Texas Agency
State Bar of Texas,,Texas Agency
Texas School for the Blind and Visually Impaired,,Texas Agency
Texas Bond Review Board,,Texas Agency
Texas Brazos River Authority,,Texas Agency
Texas Canadian River Municipal Water Authority,,Texas Agency
Texas Cancer Prevention and Research Institute,,Texas Agency
Texas Board of Chiropractic Examiners,,Texas Agency
Texas Comptroller of Public Accounts,,Texas Agency
Texas Office of Consumer Credit Commissioner,,Texas Agency
Texas County and District Retirement System,TCDRS,Texas Agency
Texas Office of Court Administration,,Texas Agency
Texas Credit Union Dept,,Texas Agency
Texas Court of Criminal Appeals,,Texas Agency
Texas Dept of Criminal Justice,,Texas Agency
Texas School for the Deaf,,Texas Agency
Texas Board of Dental Examiners,,Texas Agency
Texas Council for Developmental Disabilities,,Texas Agency
Texas Office of Disability Prevention for Children,,Texas Agency
Texas Drought Preparedness Council,,Texas Agency
Texas Education Agency,TEA,Texas Agency
Texas Center for Educational Technology,,Texas Agency
Texas State Board for Educator Certification,,Texas Agency
Texas Edwards Aquifer Authority,,Texas Agency
Texas Commission on State Emergency Communications,CSEC,Texas Agency
Texas Emergency Services Retirement System,ESRS,Texas Agency
Texas Employees Retirement System,ERS,Texas Agency
Texas A&M Engineering Experiment Station,,Texas Agency
Texas Engineering Extension Service,,Texas Agency
Texas Board of Professional Engineers,,Texas Agency
Texas Commission on Environmental Quality,TCEQ,Texas Agency
Texas Ethics Commission,,Texas Agency
Texas Facilities Commission,,Texas Agency
Texas Dept of Family and Protective Services,,Texas Agency
Office of the Texas State Chemist,,Texas Agency
Texas Public Finance Authority,,Texas Agency
Texas Finance Commission,,Texas Agency
Texas Commission on Fire Protection,,Texas Agency
Texas Forest Service,TFS,Texas Agency
Texas Funeral Service Commission,,Texas Agency
Texas Board of Professional Geoscientists,,Texas Agency
Texas Office of the Governor,,Texas Agency
Texas Groundwater Protection Committee,,Texas Agency
Texas Gulf Coast Waste Disposal Authority,,Texas Agency
Texas Headwaters Groundwater Conservation District,,Texas Agency
Texas Health and Human Services Commission,HHSC,Texas Agency
Texas Health Professions Council,,Texas Agency
Texas Dept of State Health Services,DSHS,Texas Agency
Texas High Plains Underground Water Conservation District,,Texas Agency
Texas Higher Education Coordinating Board,,Texas Agency
Texas Historical Commission,THC,Texas Agency
Texas House of Representatives,,Texas Agency
Texas Dept of Housing and Community Affairs,,Texas Agency
Texas Dept of Information Resources,DIR,Texas Agency
Texas Office of Injured Employee Counsel,,Texas Agency
Texas Office of Public Insurance Counsel,,Texas Agency
Texas Dept of Insurance,,Texas Agency
Texas Commission on Jail Standards,,Texas Agency
Texas Judicial Branch Certification Commission,,Texas Agency
Texas Commission on Judicial Conduct,,Texas Agency
Texas Judicial Council,,Texas Agency
Texas Juvenile Justice Dept,,Texas Agency
Texas Veterans Land Board,,Texas Agency
Texas General Land Office,GLO,Texas Agency
Texas Commission on Law Enforcement,,Texas Agency
Texas Board of Law Examiners,,Texas Agency
Texas Law Library,,Texas Agency
Texas Legislative Budget Board,,Texas Agency
Texas Legislative Council,TLC,Texas Agency
Texas Legislative Reference Library,,Texas Agency
Texas Legislature,,Texas Agency
Texas Library and Archives Commission,TLAC,Texas Agency
Texas Dept of Licensing and Regulation,,Texas Agency
Texas Office of Lieutenant Governor,,Texas Agency
Texas Lottery Commission,,Texas Agency
Texas Lower Colorado River Authority,,Texas Agency
Texas Medical Board,,Texas Agency
"Texas Military Dept, Formerly Adjutant Generals Dept",TMD,Texas Agency
Texas Dept of Motor Vehicles,TDMV,Texas Agency
Texas Municipal Retirement System,TMRS,Texas Agency
Texas Natural Resource Information System,TNRIS,Texas Agency
Texas North Plains Ground Water Conservation District,,Texas Agency
Texas North Texas Tollway Authority,,Texas Agency
Texas Nueces River Authority,,Texas Agency
Texas Board of Nursing,,Texas Agency
Texas Optometry Board,,Texas Agency
Texas Panhandle Groundwater Conservation District,,Texas Agency
Texas Parks and Wildlife Dept,TPWL,Texas Agency
Texas Pension Review Board,,Texas Agency
Texas Board of Pharmacy,,Texas Agency
Texas Executive Council of Physical Therapy and Occupational Therapy Examiners,,Texas Agency
Texas Board of Plumbing Examiners,,Texas Agency
Texas Preservation Board,,Texas Agency
Texas Office of State Prosecuting Attorney,,Texas Agency
Texas Board of Examiners of Psychologists,,Texas Agency
Texas Dept of Public Safety,TDPS,Texas Agency
Texas Public Utility Commission,,Texas Agency
Texas Office of Public Utility Counsel,,Texas Agency
Texas Racing Commission,,Texas Agency
Texas Railroad Commission,TRC,Texas Agency
Texas Real Estate Commission,,Texas Agency
Texas Red River Authority,,Texas Agency
Texas Rio Grande Regional Water Authority,,Texas Agency
Texas Office of Risk Management,TORM,Texas Agency
Texas Sabine River Authority,,Texas Agency
Texas San Jacinto River Authority,,Texas Agency
Texas Dept of Savings and Mortgage Lending,,Texas Agency
Texas Secretary of State,,Texas Agency
Texas Securities Board,,Texas Agency
Texas Senate,,Texas Agency
Texas Skill Standards Board,,Texas Agency
Texas Soil and Water Conservation Board,,Texas Agency
Texas Office of State Federal Relations,,Texas Agency
Texas Sulphur River Basin Authority,,Texas Agency
Texas Sunset Advisory Commission,,Texas Agency
Texas Supreme Court,,Texas Agency
Texas Teacher Retirement System,TRS,Texas Agency
Texas Toxic Substances Coordinating Committee,,Texas Agency
Texas Transportation Institute,TTI,Texas Agency
Texas Dept of Transportation,TXDOT,Texas Agency
Texas Trinity River Authority,,Texas Agency
Texas Upper Colorado River Authority,,Texas Agency
Texas Upper Guadalupe River Authority,,Texas Agency
Texas Veterans Commission,TVC,Texas Agency
Texas Veterinary Medical Diagnostic Laboratory,,Texas Agency
Texas Board of Veterinary Medical Examiners,,Texas Agency
Texas Water Development Board,TWDB,Texas Agency
"Texas Wildlife Services Texas, Formerly Wildlife Damage Management Service",TWS,Texas Agency
Texas Windham School District,,Texas Agency
Texas Workforce Commission,TWC,Texas Agency
Texas Youth Commission,,Texas Agency
Administrative Conference of the United States,,Federal Agency
Administrative Office of United States Courts,,Federal Agency
Advisory Council on Historic Preservation,,Federal Agency
Agency for International Development,,Federal Agency
International Development Cooperation Agency,,Federal Agency
Advocacy and Outreach Office,,Federal Agency
Agricultural Marketing Service,,Federal Agency
Agricultural Research Service,,Federal Agency
Animal and Plant Health Inspection Service,,Federal Agency
Commodity Credit Corporation,,Federal Agency
Cooperative State Research Education and Extension Service,,Federal Agency
Economic Analysis Staff,,Federal Agency
Economic Research Service,,Federal Agency
Farm Service Agency,FSA,Federal Agency
Federal Crop Insurance Corporation,,Federal Agency
Food and Consumer Service,,Federal Agency
Food and Nutrition Service,,Federal Agency
Food Safety and Inspection Service,,Federal Agency
Foreign Agricultural Service,,Federal Agency
Forest Service,,Federal Agency
National Agricultural Library,,Federal Agency
National Agricultural Statistics Service,,Federal Agency
National Institute of Food and Agriculture,,Federal Agency
Natural Resources Conservation Service,NRCS,Federal Agency
Operations Office,,Federal Agency
Partnerships and Public Engagement Office,,Federal Agency
Procurement and Property Management Office of,,Federal Agency
