,status,display_name,metadata_level,metadata_group,definition,example,use,conditional,use_condition,accepts_mulitple_values,validation,published_terms
0,Core,Accessibility,Layer,Discovery,How accessible is the data?  Is the data readily available online or must it be requested from the host?  Are there tools online to easily download the files? If it fully accessible as a web service?,1 - Data access requires request to use at the location of data.,Required,No,None,No,Controlled Terms,https://github.com/TexasDIS/metadata/blob/main/controlled_terms/accessibility.csv
2,Core,Attribute Accuracy,Layer,Reuse,A statement giving a general assessment of the overall accuracy or completeness of the attribute table associated with the layer.,"Attributes are approximately 90% complete. Some fields have missing values. HWM types were evaluted with an automated comparison to the notes and description fields. A handful were reclassified in the Type_Reclass field. Note: many null values are null on purpose, for instance, not all water marks need additionl notes.  
",Strongly Recommended,No,None,No,Text,None
3,Core,Attribute Code Set Name,Layer,Reuse,The official name of the established code set.,High Water Mark Field Guide,Optional,Yes,Attribute Domain Type: Established Code Set,Yes,Text,None
4,Core,Attribute Code Set URL,Layer,Reuse,URL for the established code set.,"https://pubs.er.usgs.gov/publication/tm3A24
",Optional,Yes,Attribute Domain Type: Established Code Set,Yes,Text,None
5,Core,Attribute Description,Layer,Reuse,"Description of the attribute (field, variable) within the attribute table for this layer.",Unique identification number for the site where the data was collected,Strongly Recommended,No,None,Yes,Text,None
6,Core,Attribute Domain Type,Layer,Reuse,"Type of domain for values in the attribute (field, variable) within the attribute table.","range, published code set",Recommended,No,None,Yes,Controlled Terms,https://github.com/TexasDIS/metadata/blob/main/controlled_terms/attribute_domain_type.csv
7,Core,Attribute Domain Value,Layer,Reuse,Valid value for the attribute.,"High Water Mark examples: debris, seed line, vegetation",Recommended,Yes,Attribute Domain Type: Enumerated List,Yes,Text,None
8,Core,Attribute Domain Value Description,Layer,Reuse,Description of the valid value for the attribute.,"Debris lines are trails of twigs, grasses, and other small debris left on sloping ground at the edge of a river where calmer water, as it receded, deposited the material.
",Recommended,Yes,Attribute Domain Type: Enumerated List,Yes,Text,None
9,Core,Attribute Name,Layer,Reuse,"Name of the attribute (field, variable) within the attribute table for this layer.",site_id,Strongly Recommended,No,None,Yes,Text,None
10,Core,Attribute Value Range Maximum,Layer,Reuse,The maximum value in a range of valid values.,31.0491,Optional,Yes,Attribute Domain Type: Range,Yes,Text,None
11,Core,Attribute Value Range Minimum,Layer,Reuse,The minimumum value in a range of valid values.,27.1234,Optional,Yes,Attribute Domain Type: Range,Yes,Text,None
12,Core,Boundary Name,Layer,Discovery,The geospatial boundary associated with the digital object. User is required to either provide this boundary name field or the spatial extent field. ,Travis County,Required,Yes,Boundary Type,Yes,Controlled Terms,https://github.com/TexasDIS/metadata/blob/main/controlled_terms/boundary_type.csv
13,Core,Boundary Type,Layer,Discovery,The type of geospatial boundary associated with the digital object. User is required to either provide this boundary name field or the spatial extent field. ,County,Required,No,None,No,Controlled Terms,TBD
