,status,display_name,metadata_level,metadata_group,definition,example,use,conditional,use_condition,accepts_mulitple_values,validation,published_terms
0,Core,Accessibility,Model,Discovery,How accessible is the data?  Is the data readily available online or must it be requested from the host?  Are there tools online to easily download the files? If it fully accessible as a web service?,1 - Data access requires request to use at the location of data.,Required,No,None,No,Controlled Terms,https://github.com/TexasDIS/metadata/blob/main/controlled_terms/accessibility.csv
12,Core,Boundary Name,Model,Discovery,The geospatial boundary associated with the digital object. User is required to either provide this boundary name field or the spatial extent field. ,Travis County,Required,Yes,Boundary Type,Yes,Controlled Terms,https://github.com/TexasDIS/metadata/blob/main/controlled_terms/boundary_type.csv
13,Core,Boundary Type,Model,Discovery,The type of geospatial boundary associated with the digital object. User is required to either provide this boundary name field or the spatial extent field. ,County,Required,No,None,No,Controlled Terms,TBD
14,Core,Boundary Unit Identifier,Model,Discovery,"The unique identifier for a geospatial boundary unit of a particular type, such as a name or code.",FIPS Code,Optional,Yes,Boundary Type,,Controlled Terms,https://github.com/TexasDIS/metadata/blob/main/controlled_terms/boundary_type.csv
26,Core,Chain of Custody,Model,Reuse,"A statement of any changes in ownership and custody of the digital object since its creation that are significant for its authenticity, integrity, and interpretation. The statement may include a description of any changes successive custodians made to the digital object.",Data collection and creation of dataset performed by USGS. Additional reclass field added by UTCSR.,Recommended,No,None,Yes,Text,None
15,Core,Collection Identifier,Model,Administrative,The TDIS unique identifier for the associated collection.,TBD,Required_internal,No,None,No,TDIS Identifier: UUID,None
18,Core,Completeness,Model,Discovery,A assessment of the level of completeness of the dataset. ,"Is the dataset missing significant features, unfinished but moderately complete, or mostly complete?",Required,No,None,No,Controlled Terms,https://github.com/TexasDIS/metadata/blob/main/controlled_terms/completeness.csv
19,Core,Contact Affiliation,Model,Contact Information,Organizational affiliation for the responsible point of contact.,University of Texas,Required,No,None,Yes,Controlled Terms,https://github.com/TexasDIS/metadata/blob/main/controlled_terms/organization.csv
20,Core,Contact Department,Model,Contact Information,Dept under the Contact Affiliation,Center for Space Research,Required,Yes,Contact Affiliation,Yes,Text,
21,Core,Contact Email,Model,Contact Information,Email for the responsible point of contact.,john.doe@gmail.com,Required,Yes,Contact Name,Yes,Text,None
22,Core,Contact Name,Model,Contact Information,Name of a person who is a responsible point of contact.,John Doe,Required,,None,Yes,Text,None
23,Core,Contact Phone Number,Model,Contact Information,Work phone number for the responsible point of contact.,111-2222-3333,Required,Yes,Contact Name,Yes,Text,None
24,Core,Contact Role,Model,Contact Information,The role(s) of the point of contact toward the digital object and its management.,"Submitter, Curator, Steward",Recommended,Yes,Contact Name,Yes,Controlled Terms,https://github.com/TexasDIS/metadata/blob/main/controlled_terms/contact_role.csv
28,Core,Creation Date,Model,Administrative,Date the digital object was originally created. Must conform to the ISO 8601 standard.,01/01/2022,Recommended,No,None,No,Date: ISO 8601,None
25,Core,Creator,Model,Discovery,"The name of a person or organization who should be cited as contributing to the initial creation of the digital object. Also referred to as an ""author"" or ""contributor"".",John Doe,Required,No,None,Yes,Text,None
27,Core,Data Stage,Model,Discovery,Is the data in a stage that can easily be used for disaster response? Does it require a significant amount of processing or is it ready to use? ,1 - Data requires significant additional processing,Required,No,None,No,Controlled Terms,https://github.com/TexasDIS/metadata/blob/main/controlled_terms/data_stage.csv
29,Core,Date Last Updated,Model,Administrative,The date the digital object was last updated. Must conform to the ISO 8601 standard.,2021-11-10,Required,No,None,No,Date: ISO 8601,None
31,Core,Date Submitted,Model,Administrative,Date the digital object record was submitted to TDIS. Must conform to the ISO 8601 standard.,01/01/2022,Recommended,No,None,No,Date: ISO 8601,None
32,Core,Description ,Model,Discovery,"An account of the digital object. The description may include an abstract, a table of contents, or a free-text account.","""This point dataset represents high water mark observations made by USGS field staff after Hurricane Harvey in Sept 2017  (Sept 9 - Oct 10). 
High water mark types include debris lines, seed lines, mud lines, direct observation, and other types. 
",Required,No,None,No,Text,None
33,Core,Distribution Method,Model,Access,A statement describing the method of distribution and access provided by the Distributor or Publisher.,Published on the USGS website.,Recommended,Yes,Distributor or Publisher,No,Text,None
34,Core,Distribution URL,Model,Access,"The URL where the digital object can be accessed via a service endpoint, API, etc.",https://waterdata.usgs.gov/tx/nwis/rt,Recommended,Yes,Distributor or Publisher,No,URL,None
35,Core,Distributor or Publisher,Model,Access,"The organization sharing, publishing, or otherwise responsible for providing access to the digital object.",US Geological Survey,Recommended,Yes,Distribution URL,No,Controlled Terms,https://github.com/TexasDIS/metadata/blob/main/controlled_terms/organization.csv
40,Core,Horizontal Coordinate System,Model,Reuse,A projected coordinate system is a planar system that uses two-dimensional coordinates and linear distance measurements as units. A projected coordinate system is based on a geographic coordinate system and a map projection.,Geographic,Required,No,Horizontal Coordinate System,No,Controlled Terms,https://github.com/TexasDIS/metadata/blob/main/controlled_terms/coordinate_system.csv
41,Core,Horizontal Datum,Model,Reuse,A horizontal datum is a specified coordinate system for a collection of positions on the surface of the earth. Horizontal datums define the geometric relationship between a coordinate system grid and the Earth's surface.,WGS84,Required,No,TBD,TBD,Controlled Terms,https://github.com/TexasDIS/metadata/blob/main/controlled_terms/datum.csv
42,Core,Identifier,Model,Administrative,The TDIS unique identifier for the digital object.,,Required_internal,No,None,No,TDIS Identifier: UUID,None
44,Core,Keyword Term,Model,Discovery,Subject matter keywords,"storm surges, drought",Required,No,Keyword Vocabulary,Yes,Array:Text,None
